"RHSA_ID","Severity","Created_Date","Updated_Date","Public_Date","Synopsis","CVEs","Affected_Packages"
"RHSA-2026:2042","N/A","N/A","N/A","N/A","N/A","CVE-2025-6176",""
"RHSA-2026:1350","N/A","N/A","N/A","N/A","N/A","CVE-2025-9086",""
"RHSA-2026:0936","N/A","N/A","N/A","N/A","N/A","CVE-2025-13601",""
"RHSA-2026:2786","N/A","N/A","N/A","N/A","N/A","CVE-2025-15281, CVE-2026-0915, CVE-2026-0861",""
"RHSA-2026:0719","N/A","N/A","N/A","N/A","N/A","CVE-2025-68973",""
"RHSA-2026:0927","N/A","N/A","N/A","N/A","N/A","CVE-2026-21925, CVE-2026-21933, CVE-2026-21945, CVE-2025-65018, CVE-2025-64720",""
"RHSA-2025:18281","N/A","N/A","N/A","N/A","N/A","CVE-2025-39849, CVE-2025-39841, CVE-2025-39817, CVE-2025-38571, CVE-2025-38566, CVE-2022-50087, CVE-2025-22026",""
"RHSA-2025:19105","N/A","N/A","N/A","N/A","N/A","CVE-2025-39819, CVE-2023-53331, CVE-2025-39751, CVE-2025-39730, CVE-2025-39718, CVE-2025-22122",""
"RHSA-2025:19409","N/A","N/A","N/A","N/A","N/A","CVE-2023-53494, CVE-2022-50367, CVE-2025-39702",""
"RHSA-2025:20518","N/A","N/A","N/A","N/A","N/A","CVE-2026-23146, CVE-2026-23205, CVE-2023-54237, CVE-2023-54318, CVE-2023-54152, CVE-2022-50504, CVE-2025-38527, CVE-2025-38396, CVE-2025-38438, CVE-2025-38288, CVE-2025-38322, CVE-2025-38332, CVE-2024-36357, CVE-2024-36350, CVE-2025-38234, CVE-2025-38116, CVE-2025-38127, CVE-2025-38013, CVE-2025-38075, CVE-2022-50143, CVE-2025-37994, CVE-2025-37825, CVE-2022-49845, CVE-2025-22086, CVE-2025-22089, CVE-2025-22119, CVE-2025-22092, CVE-2025-22056, CVE-2025-22097, CVE-2025-22116, CVE-2025-23129, CVE-2025-22111, CVE-2025-21902, CVE-2025-21851, CVE-2025-21855, CVE-2025-21844, CVE-2025-21853, CVE-2025-21847, CVE-2025-21864, CVE-2024-58088, CVE-2025-21846, CVE-2025-21861, CVE-2025-21863, CVE-2025-21848, CVE-2025-21839, CVE-2025-21837, CVE-2024-58072, CVE-2024-58068, CVE-2024-58062, CVE-2024-58057, CVE-2025-21828, CVE-2024-58083, CVE-2025-21826, CVE-2024-58077, CVE-2024-58075, CVE-2025-21829, CVE-2025-21746, CVE-2025-21727, CVE-2025-21795, CVE-2025-21728, CVE-2024-54456, CVE-2024-57987, CVE-2024-58014, CVE-2024-57988, CVE-2025-21714, CVE-2024-49570, CVE-2024-57993, CVE-2025-21729, CVE-2024-57989, CVE-2024-58015, CVE-2024-57998, CVE-2024-57995, CVE-2025-21796, CVE-2025-21739, CVE-2025-21786, CVE-2025-21738, CVE-2024-57986, CVE-2025-21726, CVE-2025-21791, CVE-2025-21787, CVE-2024-57981, CVE-2025-21790, CVE-2024-57990, CVE-2025-21765, CVE-2024-58012, CVE-2025-21745, CVE-2025-21806, CVE-2022-49657, CVE-2022-49432, CVE-2022-49672, CVE-2022-49353, CVE-2022-49437, CVE-2022-49627, CVE-2022-49670, CVE-2022-49269, CVE-2022-49643, CVE-2022-49623, CVE-2022-49357, CVE-2022-49443, CVE-2022-49648, CVE-2025-21702, CVE-2025-21696, CVE-2025-21693, CVE-2025-21691, CVE-2025-21671, CVE-2025-21672, CVE-2025-21648, CVE-2025-21647, CVE-2025-21631, CVE-2024-52332, CVE-2024-53680, CVE-2024-56786, CVE-2024-56709, CVE-2024-56739, CVE-2024-56690, CVE-2024-53229, CVE-2024-53170, CVE-2024-56603, CVE-2024-56672, CVE-2024-56662, CVE-2024-56675, CVE-2024-56645, CVE-2024-53241, CVE-2024-53135, CVE-2024-53119, CVE-2024-53090, CVE-2024-50294, CVE-2024-53052, CVE-2024-50195, CVE-2024-47679, CVE-2024-47727, CVE-2024-49864, CVE-2024-50060, CVE-2022-49024, CVE-2024-46744, CVE-2024-46689, CVE-2022-48830",""
